"Notes"	"County"	"County Code"	"Year"	"Year Code"	Heat Wave Days Based on Daily Maximum Temperature	Average Heat Wave Days Based on Daily Maximum Temperature	Average Heat Wave Days Based on Daily Maximum Temperature Standard Deviation	Heat Wave Days Based on Daily Maximum Heat Index	Average Heat Wave Days Based on Daily Maximum Heat Index	Average Heat Wave Days Based on Daily Maximum Heat Index Standard Deviation	Heat Wave Days Based on Net Daily Heat Stress	Average Heat Wave Days Based on Net Daily Heat Stress	Average Heat Wave Days Based on Net Daily Heat Stress Standard Deviation	Population	Average Population
"Total"	"Franklin County, NC"	"37069"			Not Applicable	15.00	0.00	Not Applicable	10.00	0.00	Not Applicable	11.00	0.00	30356	30356.00
	"Gaston County, NC"	"37071"	"1981"	"1981"	7	7.00	0.00	11	11.00	0.00	9	9.00	0.00	164765	164765.00
"Total"	"Gaston County, NC"	"37071"			Not Applicable	7.00	0.00	Not Applicable	11.00	0.00	Not Applicable	9.00	0.00	164765	164765.00
	"Gates County, NC"	"37073"	"1981"	"1981"	9	9.00	0.00	4	4.00	0.00	5	5.00	0.00	8841	8841.00
"Total"	"Gates County, NC"	"37073"			Not Applicable	9.00	0.00	Not Applicable	4.00	0.00	Not Applicable	5.00	0.00	8841	8841.00
	"Graham County, NC"	"37075"	"1981"	"1981"	0	0.00	0.00	7	7.00	0.00	0	0.00	0.00	7168	7168.00
"Total"	"Graham County, NC"	"37075"			Not Applicable	0.00	0.00	Not Applicable	7.00	0.00	Not Applicable	0.00	0.00	7168	7168.00
	"Granville County, NC"	"37077"	"1981"	"1981"	14	14.00	0.00	8	8.00	0.00	7	7.00	0.00	34433	34433.00
"Total"	"Granville County, NC"	"37077"			Not Applicable	14.00	0.00	Not Applicable	8.00	0.00	Not Applicable	7.00	0.00	34433	34433.00
	"Greene County, NC"	"37079"	"1981"	"1981"	7	7.00	0.00	12	12.00	0.00	12	12.00	0.00	15922	15922.00
"Total"	"Greene County, NC"	"37079"			Not Applicable	7.00	0.00	Not Applicable	12.00	0.00	Not Applicable	12.00	0.00	15922	15922.00
	"Guilford County, NC"	"37081"	"1981"	"1981"	14	14.00	0.00	8	8.00	0.00	8	8.00	0.00	320152	320152.00
"Total"	"Guilford County, NC"	"37081"			Not Applicable	14.00	0.00	Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	320152	320152.00
	"Halifax County, NC"	"37083"	"1981"	"1981"	11	11.00	0.00	8	8.00	0.00	9	9.00	0.00	55225	55225.00
"Total"	"Halifax County, NC"	"37083"			Not Applicable	11.00	0.00	Not Applicable	8.00	0.00	Not Applicable	9.00	0.00	55225	55225.00
	"Harnett County, NC"	"37085"	"1981"	"1981"	14	14.00	0.00	13	13.00	0.00	14	14.00	0.00	60511	60511.00
"Total"	"Harnett County, NC"	"37085"			Not Applicable	14.00	0.00	Not Applicable	13.00	0.00	Not Applicable	14.00	0.00	60511	60511.00
	"Haywood County, NC"	"37087"	"1981"	"1981"	0	0.00	0.00	11	11.00	0.00	0	0.00	0.00	46726	46726.00
"Total"	"Haywood County, NC"	"37087"			Not Applicable	0.00	0.00	Not Applicable	11.00	0.00	Not Applicable	0.00	0.00	46726	46726.00
	"Henderson County, NC"	"37089"	"1981"	"1981"	6	6.00	0.00	9	9.00	0.00	2	2.00	0.00	60228	60228.00
"Total"	"Henderson County, NC"	"37089"			Not Applicable	6.00	0.00	Not Applicable	9.00	0.00	Not Applicable	2.00	0.00	60228	60228.00
	"Hertford County, NC"	"37091"	"1981"	"1981"	10	10.00	0.00	6	6.00	0.00	5	5.00	0.00	23315	23315.00
"Total"	"Hertford County, NC"	"37091"			Not Applicable	10.00	0.00	Not Applicable	6.00	0.00	Not Applicable	5.00	0.00	23315	23315.00
	"Hoke County, NC"	"37093"	"1981"	"1981"	11	11.00	0.00	12	12.00	0.00	11	11.00	0.00	20733	20733.00
"Total"	"Hoke County, NC"	"37093"			Not Applicable	11.00	0.00	Not Applicable	12.00	0.00	Not Applicable	11.00	0.00	20733	20733.00
	"Hyde County, NC"	"37095"	"1981"	"1981"	7	7.00	0.00	13	13.00	0.00	7	7.00	0.00	5930	5930.00
"Total"	"Hyde County, NC"	"37095"			Not Applicable	7.00	0.00	Not Applicable	13.00	0.00	Not Applicable	7.00	0.00	5930	5930.00
	"Iredell County, NC"	"37097"	"1981"	"1981"	4	4.00	0.00	10	10.00	0.00	8	8.00	0.00	83791	83791.00
"Total"	"Iredell County, NC"	"37097"			Not Applicable	4.00	0.00	Not Applicable	10.00	0.00	Not Applicable	8.00	0.00	83791	83791.00
	"Jackson County, NC"	"37099"	"1981"	"1981"	0	0.00	0.00	12	12.00	0.00	0	0.00	0.00	26267	26267.00
"Total"	"Jackson County, NC"	"37099"			Not Applicable	0.00	0.00	Not Applicable	12.00	0.00	Not Applicable	0.00	0.00	26267	26267.00
	"Johnston County, NC"	"37101"	"1981"	"1981"	13	13.00	0.00	13	13.00	0.00	14	14.00	0.00	71369	71369.00
"Total"	"Johnston County, NC"	"37101"			Not Applicable	13.00	0.00	Not Applicable	13.00	0.00	Not Applicable	14.00	0.00	71369	71369.00
	"Jones County, NC"	"37103"	"1981"	"1981"	11	11.00	0.00	13	13.00	0.00	10	10.00	0.00	9681	9681.00
"Total"	"Jones County, NC"	"37103"			Not Applicable	11.00	0.00	Not Applicable	13.00	0.00	Not Applicable	10.00	0.00	9681	9681.00
	"Lee County, NC"	"37105"	"1981"	"1981"	14	14.00	0.00	13	13.00	0.00	13	13.00	0.00	37040	37040.00
"Total"	"Lee County, NC"	"37105"			Not Applicable	14.00	0.00	Not Applicable	13.00	0.00	Not Applicable	13.00	0.00	37040	37040.00
	"Lenoir County, NC"	"37107"	"1981"	"1981"	10	10.00	0.00	14	14.00	0.00	12	12.00	0.00	59809	59809.00
"Total"	"Lenoir County, NC"	"37107"			Not Applicable	10.00	0.00	Not Applicable	14.00	0.00	Not Applicable	12.00	0.00	59809	59809.00
	"Lincoln County, NC"	"37109"	"1981"	"1981"	4	4.00	0.00	11	11.00	0.00	12	12.00	0.00	42866	42866.00
"Total"	"Lincoln County, NC"	"37109"			Not Applicable	4.00	0.00	Not Applicable	11.00	0.00	Not Applicable	12.00	0.00	42866	42866.00
	"McDowell County, NC"	"37111"	"1981"	"1981"	2	2.00	0.00	10	10.00	0.00	8	8.00	0.00	35666	35666.00
"Total"	"McDowell County, NC"	"37111"			Not Applicable	2.00	0.00	Not Applicable	10.00	0.00	Not Applicable	8.00	0.00	35666	35666.00
	"Macon County, NC"	"37113"	"1981"	"1981"	0	0.00	0.00	10	10.00	0.00	0	0.00	0.00	21145	21145.00
"Total"	"Macon County, NC"	"37113"			Not Applicable	0.00	0.00	Not Applicable	10.00	0.00	Not Applicable	0.00	0.00	21145	21145.00
	"Madison County, NC"	"37115"	"1981"	"1981"	0	0.00	0.00	10	10.00	0.00	0	0.00	0.00	17079	17079.00
"Total"	"Madison County, NC"	"37115"			Not Applicable	0.00	0.00	Not Applicable	10.00	0.00	Not Applicable	0.00	0.00	17079	17079.00
	"Martin County, NC"	"37117"	"1981"	"1981"	10	10.00	0.00	11	11.00	0.00	13	13.00	0.00	26193	26193.00
"Total"	"Martin County, NC"	"37117"			Not Applicable	10.00	0.00	Not Applicable	11.00	0.00	Not Applicable	13.00	0.00	26193	26193.00
	"Mecklenburg County, NC"	"37119"	"1981"	"1981"	7	7.00	0.00	12	12.00	0.00	9	9.00	0.00	414388	414388.00
"Total"	"Mecklenburg County, NC"	"37119"			Not Applicable	7.00	0.00	Not Applicable	12.00	0.00	Not Applicable	9.00	0.00	414388	414388.00
	"Mitchell County, NC"	"37121"	"1981"	"1981"	0	0.00	0.00	7	7.00	0.00	0	0.00	0.00	14399	14399.00
"Total"	"Mitchell County, NC"	"37121"			Not Applicable	0.00	0.00	Not Applicable	7.00	0.00	Not Applicable	0.00	0.00	14399	14399.00
	"Montgomery County, NC"	"37123"	"1981"	"1981"	12	12.00	0.00	8	8.00	0.00	9	9.00	0.00	22514	22514.00
"Total"	"Montgomery County, NC"	"37123"			Not Applicable	12.00	0.00	Not Applicable	8.00	0.00	Not Applicable	9.00	0.00	22514	22514.00
	"Moore County, NC"	"37125"	"1981"	"1981"	11	11.00	0.00	10	10.00	0.00	12	12.00	0.00	50954	50954.00
"Total"	"Moore County, NC"	"37125"			Not Applicable	11.00	0.00	Not Applicable	10.00	0.00	Not Applicable	12.00	0.00	50954	50954.00
	"Nash County, NC"	"37127"	"1981"	"1981"	15	15.00	0.00	10	10.00	0.00	11	11.00	0.00	68127	68127.00
"Total"	"Nash County, NC"	"37127"			Not Applicable	15.00	0.00	Not Applicable	10.00	0.00	Not Applicable	11.00	0.00	68127	68127.00
	"New Hanover County, NC"	"37129"	"1981"	"1981"	3	3.00	0.00	7	7.00	0.00	2	2.00	0.00	105396	105396.00
"Total"	"New Hanover County, NC"	"37129"			Not Applicable	3.00	0.00	Not Applicable	7.00	0.00	Not Applicable	2.00	0.00	105396	105396.00
	"Northampton County, NC"	"37131"	"1981"	"1981"	9	9.00	0.00	6	6.00	0.00	7	7.00	0.00	22117	22117.00
"Total"	"Northampton County, NC"	"37131"			Not Applicable	9.00	0.00	Not Applicable	6.00	0.00	Not Applicable	7.00	0.00	22117	22117.00
	"Onslow County, NC"	"37133"	"1981"	"1981"	11	11.00	0.00	14	14.00	0.00	10	10.00	0.00	116783	116783.00
"Total"	"Onslow County, NC"	"37133"			Not Applicable	11.00	0.00	Not Applicable	14.00	0.00	Not Applicable	10.00	0.00	116783	116783.00
	"Orange County, NC"	"37135"	"1981"	"1981"	14	14.00	0.00	12	12.00	0.00	9	9.00	0.00	77972	77972.00
"Total"	"Orange County, NC"	"37135"			Not Applicable	14.00	0.00	Not Applicable	12.00	0.00	Not Applicable	9.00	0.00	77972	77972.00
	"Pamlico County, NC"	"37137"	"1981"	"1981"	7	7.00	0.00	13	13.00	0.00	11	11.00	0.00	10464	10464.00
"Total"	"Pamlico County, NC"	"37137"			Not Applicable	7.00	0.00	Not Applicable	13.00	0.00	Not Applicable	11.00	0.00	10464	10464.00
	"Pasquotank County, NC"	"37139"	"1981"	"1981"	3	3.00	0.00	4	4.00	0.00	6	6.00	0.00	28577	28577.00
"Total"	"Pasquotank County, NC"	"37139"			Not Applicable	3.00	0.00	Not Applicable	4.00	0.00	Not Applicable	6.00	0.00	28577	28577.00
	"Pender County, NC"	"37141"	"1981"	"1981"	10	10.00	0.00	12	12.00	0.00	12	12.00	0.00	22553	22553.00
"Total"	"Pender County, NC"	"37141"			Not Applicable	10.00	0.00	Not Applicable	12.00	0.00	Not Applicable	12.00	0.00	22553	22553.00
	"Perquimans County, NC"	"37143"	"1981"	"1981"	11	11.00	0.00	7	7.00	0.00	7	7.00	0.00	9499	9499.00
"Total"	"Perquimans County, NC"	"37143"			Not Applicable	11.00	0.00	Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	9499	9499.00
	"Person County, NC"	"37145"	"1981"	"1981"	13	13.00	0.00	10	10.00	0.00	7	7.00	0.00	29128	29128.00
"Total"	"Person County, NC"	"37145"			Not Applicable	13.00	0.00	Not Applicable	10.00	0.00	Not Applicable	7.00	0.00	29128	29128.00
	"Pitt County, NC"	"37147"	"1981"	"1981"	7	7.00	0.00	12	12.00	0.00	13	13.00	0.00	92091	92091.00
"Total"	"Pitt County, NC"	"37147"			Not Applicable	7.00	0.00	Not Applicable	12.00	0.00	Not Applicable	13.00	0.00	92091	92091.00
	"Polk County, NC"	"37149"	"1981"	"1981"	4	4.00	0.00	12	12.00	0.00	10	10.00	0.00	13508	13508.00
"Total"	"Polk County, NC"	"37149"			Not Applicable	4.00	0.00	Not Applicable	12.00	0.00	Not Applicable	10.00	0.00	13508	13508.00
	"Randolph County, NC"	"37151"	"1981"	"1981"	11	11.00	0.00	10	10.00	0.00	9	9.00	0.00	92612	92612.00
"Total"	"Randolph County, NC"	"37151"			Not Applicable	11.00	0.00	Not Applicable	10.00	0.00	Not Applicable	9.00	0.00	92612	92612.00
	"Richmond County, NC"	"37153"	"1981"	"1981"	11	11.00	0.00	12	12.00	0.00	10	10.00	0.00	44972	44972.00
"Total"	"Richmond County, NC"	"37153"			Not Applicable	11.00	0.00	Not Applicable	12.00	0.00	Not Applicable	10.00	0.00	44972	44972.00
	"Robeson County, NC"	"37155"	"1981"	"1981"	9	9.00	0.00	11	11.00	0.00	10	10.00	0.00	102373	102373.00
"Total"	"Robeson County, NC"	"37155"			Not Applicable	9.00	0.00	Not Applicable	11.00	0.00	Not Applicable	10.00	0.00	102373	102373.00
	"Rockingham County, NC"	"37157"	"1981"	"1981"	11	11.00	0.00	8	8.00	0.00	6	6.00	0.00	84299	84299.00
"Total"	"Rockingham County, NC"	"37157"			Not Applicable	11.00	0.00	Not Applicable	8.00	0.00	Not Applicable	6.00	0.00	84299	84299.00
	"Rowan County, NC"	"37159"	"1981"	"1981"	8	8.00	0.00	10	10.00	0.00	9	9.00	0.00	100299	100299.00
"Total"	"Rowan County, NC"	"37159"			Not Applicable	8.00	0.00	Not Applicable	10.00	0.00	Not Applicable	9.00	0.00	100299	100299.00
	"Rutherford County, NC"	"37161"	"1981"	"1981"	2	2.00	0.00	12	12.00	0.00	10	10.00	0.00	54483	54483.00
"Total"	"Rutherford County, NC"	"37161"			Not Applicable	2.00	0.00	Not Applicable	12.00	0.00	Not Applicable	10.00	0.00	54483	54483.00
	"Sampson County, NC"	"37163"	"1981"	"1981"	10	10.00	0.00	14	14.00	0.00	12	12.00	0.00	49369	49369.00
"Total"	"Sampson County, NC"	"37163"			Not Applicable	10.00	0.00	Not Applicable	14.00	0.00	Not Applicable	12.00	0.00	49369	49369.00
	"Scotland County, NC"	"37165"	"1981"	"1981"	11	11.00	0.00	12	12.00	0.00	11	11.00	0.00	32533	32533.00
"Total"	"Scotland County, NC"	"37165"			Not Applicable	11.00	0.00	Not Applicable	12.00	0.00	Not Applicable	11.00	0.00	32533	32533.00
	"Stanly County, NC"	"37167"	"1981"	"1981"	12	12.00	0.00	9	9.00	0.00	9	9.00	0.00	48518	48518.00
"Total"	"Stanly County, NC"	"37167"			Not Applicable	12.00	0.00	Not Applicable	9.00	0.00	Not Applicable	9.00	0.00	48518	48518.00
	"Stokes County, NC"	"37169"	"1981"	"1981"	10	10.00	0.00	6	6.00	0.00	9	9.00	0.00	33647	33647.00
"Total"	"Stokes County, NC"	"37169"			Not Applicable	10.00	0.00	Not Applicable	6.00	0.00	Not Applicable	9.00	0.00	33647	33647.00
	"Surry County, NC"	"37171"	"1981"	"1981"	4	4.00	0.00	7	7.00	0.00	8	8.00	0.00	59609	59609.00
"Total"	"Surry County, NC"	"37171"			Not Applicable	4.00	0.00	Not Applicable	7.00	0.00	Not Applicable	8.00	0.00	59609	59609.00
	"Swain County, NC"	"37173"	"1981"	"1981"	0	0.00	0.00	10	10.00	0.00	0	0.00	0.00	10490	10490.00
"Total"	"Swain County, NC"	"37173"			Not Applicable	0.00	0.00	Not Applicable	10.00	0.00	Not Applicable	0.00	0.00	10490	10490.00
	"Transylvania County, NC"	"37175"	"1981"	"1981"	5	5.00	0.00	11	11.00	0.00	0	0.00	0.00	23697	23697.00
"Total"	"Transylvania County, NC"	"37175"			Not Applicable	5.00	0.00	Not Applicable	11.00	0.00	Not Applicable	0.00	0.00	23697	23697.00
	"Tyrrell County, NC"	"37177"	"1981"	"1981"	7	7.00	0.00	4	4.00	0.00	4	4.00	0.00	4015	4015.00
"Total"	"Tyrrell County, NC"	"37177"			Not Applicable	7.00	0.00	Not Applicable	4.00	0.00	Not Applicable	4.00	0.00	4015	4015.00
	"Union County, NC"	"37179"	"1981"	"1981"	10	10.00	0.00	9	9.00	0.00	7	7.00	0.00	71965	71965.00
"Total"	"Union County, NC"	"37179"			Not Applicable	10.00	0.00	Not Applicable	9.00	0.00	Not Applicable	7.00	0.00	71965	71965.00
	"Vance County, NC"	"37181"	"1981"	"1981"	14	14.00	0.00	8	8.00	0.00	7	7.00	0.00	36945	36945.00
"Total"	"Vance County, NC"	"37181"			Not Applicable	14.00	0.00	Not Applicable	8.00	0.00	Not Applicable	7.00	0.00	36945	36945.00
	"Wake County, NC"	"37183"	"1981"	"1981"	12	12.00	0.00	13	13.00	0.00	11	11.00	0.00	310193	310193.00
"Total"	"Wake County, NC"	"37183"			Not Applicable	12.00	0.00	Not Applicable	13.00	0.00	Not Applicable	11.00	0.00	310193	310193.00
	"Warren County, NC"	"37185"	"1981"	"1981"	12	12.00	0.00	8	8.00	0.00	9	9.00	0.00	16241	16241.00
"Total"	"Warren County, NC"	"37185"			Not Applicable	12.00	0.00	Not Applicable	8.00	0.00	Not Applicable	9.00	0.00	16241	16241.00
	"Washington County, NC"	"37187"	"1981"	"1981"	11	11.00	0.00	11	11.00	0.00	13	13.00	0.00	14605	14605.00
"Total"	"Washington County, NC"	"37187"			Not Applicable	11.00	0.00	Not Applicable	11.00	0.00	Not Applicable	13.00	0.00	14605	14605.00
	"Watauga County, NC"	"37189"	"1981"	"1981"	0	0.00	0.00	10	10.00	0.00	0	0.00	0.00	32910	32910.00
"Total"	"Watauga County, NC"	"37189"			Not Applicable	0.00	0.00	Not Applicable	10.00	0.00	Not Applicable	0.00	0.00	32910	32910.00
	"Wayne County, NC"	"37191"	"1981"	"1981"	9	9.00	0.00	12	12.00	0.00	12	12.00	0.00	98090	98090.00
"Total"	"Wayne County, NC"	"37191"			Not Applicable	9.00	0.00	Not Applicable	12.00	0.00	Not Applicable	12.00	0.00	98090	98090.00
	"Wilkes County, NC"	"37193"	"1981"	"1981"	4	4.00	0.00	9	9.00	0.00	6	6.00	0.00	58915	58915.00
"Total"	"Wilkes County, NC"	"37193"			Not Applicable	4.00	0.00	Not Applicable	9.00	0.00	Not Applicable	6.00	0.00	58915	58915.00
	"Wilson County, NC"	"37195"	"1981"	"1981"	13	13.00	0.00	10	10.00	0.00	12	12.00	0.00	63531	63531.00
"Total"	"Wilson County, NC"	"37195"			Not Applicable	13.00	0.00	Not Applicable	10.00	0.00	Not Applicable	12.00	0.00	63531	63531.00
	"Yadkin County, NC"	"37197"	"1981"	"1981"	6	6.00	0.00	10	10.00	0.00	9	9.00	0.00	28748	28748.00
"Total"	"Yadkin County, NC"	"37197"			Not Applicable	6.00	0.00	Not Applicable	10.00	0.00	Not Applicable	9.00	0.00	28748	28748.00
	"Yancey County, NC"	"37199"	"1981"	"1981"	0	0.00	0.00	9	9.00	0.00	0	0.00	0.00	15019	15019.00
"Total"	"Yancey County, NC"	"37199"			Not Applicable	0.00	0.00	Not Applicable	9.00	0.00	Not Applicable	0.00	0.00	15019	15019.00
	"Adams County, ND"	"38001"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	5	5.00	0.00	3553	3553.00
"Total"	"Adams County, ND"	"38001"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	3553	3553.00
	"Barnes County, ND"	"38003"	"1981"	"1981"	7	7.00	0.00	7	7.00	0.00	5	5.00	0.00	13866	13866.00
"Total"	"Barnes County, ND"	"38003"			Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	Not Applicable	5.00	0.00	13866	13866.00
	"Benson County, ND"	"38005"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	2	2.00	0.00	7770	7770.00
"Total"	"Benson County, ND"	"38005"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	2.00	0.00	7770	7770.00
	"Billings County, ND"	"38007"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	6	6.00	0.00	1218	1218.00
"Total"	"Billings County, ND"	"38007"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	6.00	0.00	1218	1218.00
	"Bottineau County, ND"	"38009"	"1981"	"1981"	5	5.00	0.00	3	3.00	0.00	2	2.00	0.00	9083	9083.00
"Total"	"Bottineau County, ND"	"38009"			Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	Not Applicable	2.00	0.00	9083	9083.00
	"Bowman County, ND"	"38011"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	5	5.00	0.00	4319	4319.00
"Total"	"Bowman County, ND"	"38011"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	4319	4319.00
	"Burke County, ND"	"38013"	"1981"	"1981"	4	4.00	0.00	4	4.00	0.00	3	3.00	0.00	3783	3783.00
"Total"	"Burke County, ND"	"38013"			Not Applicable	4.00	0.00	Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	3783	3783.00
	"Burleigh County, ND"	"38015"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	3	3.00	0.00	55566	55566.00
"Total"	"Burleigh County, ND"	"38015"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	55566	55566.00
	"Cass County, ND"	"38017"	"1981"	"1981"	9	9.00	0.00	4	4.00	0.00	4	4.00	0.00	89860	89860.00
"Total"	"Cass County, ND"	"38017"			Not Applicable	9.00	0.00	Not Applicable	4.00	0.00	Not Applicable	4.00	0.00	89860	89860.00
	"Cavalier County, ND"	"38019"	"1981"	"1981"	5	5.00	0.00	3	3.00	0.00	2	2.00	0.00	7381	7381.00
"Total"	"Cavalier County, ND"	"38019"			Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	Not Applicable	2.00	0.00	7381	7381.00
	"Dickey County, ND"	"38021"	"1981"	"1981"	7	7.00	0.00	5	5.00	0.00	3	3.00	0.00	7134	7134.00
"Total"	"Dickey County, ND"	"38021"			Not Applicable	7.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	7134	7134.00
	"Divide County, ND"	"38023"	"1981"	"1981"	4	4.00	0.00	4	4.00	0.00	3	3.00	0.00	3381	3381.00
"Total"	"Divide County, ND"	"38023"			Not Applicable	4.00	0.00	Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	3381	3381.00
	"Dunn County, ND"	"38025"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	3	3.00	0.00	4792	4792.00
"Total"	"Dunn County, ND"	"38025"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	4792	4792.00
	"Eddy County, ND"	"38027"	"1981"	"1981"	5	5.00	0.00	7	7.00	0.00	2	2.00	0.00	3462	3462.00
"Total"	"Eddy County, ND"	"38027"			Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	Not Applicable	2.00	0.00	3462	3462.00
	"Emmons County, ND"	"38029"	"1981"	"1981"	5	5.00	0.00	2	2.00	0.00	3	3.00	0.00	5808	5808.00
"Total"	"Emmons County, ND"	"38029"			Not Applicable	5.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	5808	5808.00
	"Foster County, ND"	"38031"	"1981"	"1981"	5	5.00	0.00	7	7.00	0.00	2	2.00	0.00	4498	4498.00
"Total"	"Foster County, ND"	"38031"			Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	Not Applicable	2.00	0.00	4498	4498.00
	"Golden Valley County, ND"	"38033"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	5	5.00	0.00	2540	2540.00
"Total"	"Golden Valley County, ND"	"38033"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	2540	2540.00
	"Grand Forks County, ND"	"38035"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	4	4.00	0.00	66861	66861.00
"Total"	"Grand Forks County, ND"	"38035"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	4.00	0.00	66861	66861.00
	"Grant County, ND"	"38037"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	3	3.00	0.00	4232	4232.00
"Total"	"Grant County, ND"	"38037"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	4232	4232.00
	"Griggs County, ND"	"38039"	"1981"	"1981"	5	5.00	0.00	7	7.00	0.00	2	2.00	0.00	3659	3659.00
"Total"	"Griggs County, ND"	"38039"			Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	Not Applicable	2.00	0.00	3659	3659.00
	"Hettinger County, ND"	"38041"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	3	3.00	0.00	4152	4152.00
"Total"	"Hettinger County, ND"	"38041"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	4152	4152.00
	"Kidder County, ND"	"38043"	"1981"	"1981"	7	7.00	0.00	5	5.00	0.00	3	3.00	0.00	3704	3704.00
"Total"	"Kidder County, ND"	"38043"			Not Applicable	7.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	3704	3704.00
	"LaMoure County, ND"	"38045"	"1981"	"1981"	7	7.00	0.00	5	5.00	0.00	4	4.00	0.00	6364	6364.00
"Total"	"LaMoure County, ND"	"38045"			Not Applicable	7.00	0.00	Not Applicable	5.00	0.00	Not Applicable	4.00	0.00	6364	6364.00
	"Logan County, ND"	"38047"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	2	2.00	0.00	3393	3393.00
"Total"	"Logan County, ND"	"38047"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	2.00	0.00	3393	3393.00
	"McHenry County, ND"	"38049"	"1981"	"1981"	5	5.00	0.00	3	3.00	0.00	5	5.00	0.00	7692	7692.00
"Total"	"McHenry County, ND"	"38049"			Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	Not Applicable	5.00	0.00	7692	7692.00
	"McIntosh County, ND"	"38051"	"1981"	"1981"	5	5.00	0.00	2	2.00	0.00	2	2.00	0.00	4677	4677.00
"Total"	"McIntosh County, ND"	"38051"			Not Applicable	5.00	0.00	Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	4677	4677.00
	"McKenzie County, ND"	"38053"	"1981"	"1981"	6	6.00	0.00	5	5.00	0.00	3	3.00	0.00	7991	7991.00
"Total"	"McKenzie County, ND"	"38053"			Not Applicable	6.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	7991	7991.00
	"McLean County, ND"	"38055"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	3	3.00	0.00	12186	12186.00
"Total"	"McLean County, ND"	"38055"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	12186	12186.00
	"Mercer County, ND"	"38057"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	3	3.00	0.00	9602	9602.00
"Total"	"Mercer County, ND"	"38057"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	9602	9602.00
	"Morton County, ND"	"38059"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	3	3.00	0.00	25424	25424.00
"Total"	"Morton County, ND"	"38059"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	25424	25424.00
	"Mountrail County, ND"	"38061"	"1981"	"1981"	3	3.00	0.00	3	3.00	0.00	3	3.00	0.00	7905	7905.00
"Total"	"Mountrail County, ND"	"38061"			Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	7905	7905.00
	"Nelson County, ND"	"38063"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	2	2.00	0.00	5082	5082.00
"Total"	"Nelson County, ND"	"38063"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	2.00	0.00	5082	5082.00
	"Oliver County, ND"	"38065"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	3	3.00	0.00	2467	2467.00
"Total"	"Oliver County, ND"	"38065"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	2467	2467.00
