"Notes"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Sunlight (KJ/m²)	# of Observations for Daily Sunlight	Min Daily Sunlight	Max Daily Sunlight
	"Divide County, ND"	"38023"	"Dec, 1979"	"1979/12"	4401.83	775	2128.10	5695.10
"Total"	"Divide County, ND"	"38023"			14289.95	9125	2128.10	28957.80
	"Dunn County, ND"	"38025"	"Jan, 1979"	"1979/01"	6409.02	1178	2868.00	9042.20
	"Dunn County, ND"	"38025"	"Feb, 1979"	"1979/02"	8343.89	1064	4746.50	11823.50
	"Dunn County, ND"	"38025"	"Mar, 1979"	"1979/03"	14816.47	1178	8874.30	19858.50
	"Dunn County, ND"	"38025"	"Apr, 1979"	"1979/04"	16897.07	1140	7329.10	22947.30
	"Dunn County, ND"	"38025"	"May, 1979"	"1979/05"	20592.42	1178	6179.20	28256.40
	"Dunn County, ND"	"38025"	"Jun, 1979"	"1979/06"	25477.92	1140	16023.70	28649.80
	"Dunn County, ND"	"38025"	"Jul, 1979"	"1979/07"	24664.01	1178	16681.50	27972.30
	"Dunn County, ND"	"38025"	"Aug, 1979"	"1979/08"	20322.70	1178	12297.70	24595.40
	"Dunn County, ND"	"38025"	"Sep, 1979"	"1979/09"	16448.01	1140	6665.30	20288.60
	"Dunn County, ND"	"38025"	"Oct, 1979"	"1979/10"	10241.38	1178	3532.50	14798.90
	"Dunn County, ND"	"38025"	"Nov, 1979"	"1979/11"	6020.40	1140	2342.40	9545.70
	"Dunn County, ND"	"38025"	"Dec, 1979"	"1979/12"	4997.22	1178	2300.10	6401.40
"Total"	"Dunn County, ND"	"38025"			14636.36	13870	2300.10	28649.80
	"Eddy County, ND"	"38027"	"Jan, 1979"	"1979/01"	6335.44	372	3844.70	8908.70
	"Eddy County, ND"	"38027"	"Feb, 1979"	"1979/02"	9292.67	336	5387.10	12737.10
	"Eddy County, ND"	"38027"	"Mar, 1979"	"1979/03"	15457.53	372	7460.20	21654.70
	"Eddy County, ND"	"38027"	"Apr, 1979"	"1979/04"	19510.09	360	9812.80	25667.90
	"Eddy County, ND"	"38027"	"May, 1979"	"1979/05"	22280.77	372	7984.70	28356.70
	"Eddy County, ND"	"38027"	"Jun, 1979"	"1979/06"	23655.75	360	11358.70	28681.90
	"Eddy County, ND"	"38027"	"Jul, 1979"	"1979/07"	23959.90	372	15458.60	28192.80
	"Eddy County, ND"	"38027"	"Aug, 1979"	"1979/08"	20286.42	372	11605.60	25262.40
	"Eddy County, ND"	"38027"	"Sep, 1979"	"1979/09"	16201.73	360	6239.00	20161.90
	"Eddy County, ND"	"38027"	"Oct, 1979"	"1979/10"	9595.83	372	4591.30	14187.90
	"Eddy County, ND"	"38027"	"Nov, 1979"	"1979/11"	6124.24	360	2659.00	8399.50
	"Eddy County, ND"	"38027"	"Dec, 1979"	"1979/12"	5267.86	372	2614.00	6719.10
"Total"	"Eddy County, ND"	"38027"			14859.30	4380	2614.00	28681.90
	"Emmons County, ND"	"38029"	"Jan, 1979"	"1979/01"	6761.62	930	3968.60	9878.90
	"Emmons County, ND"	"38029"	"Feb, 1979"	"1979/02"	9072.43	840	5198.40	13148.70
	"Emmons County, ND"	"38029"	"Mar, 1979"	"1979/03"	15127.07	930	7504.70	20392.10
	"Emmons County, ND"	"38029"	"Apr, 1979"	"1979/04"	17423.50	900	7624.60	24149.00
	"Emmons County, ND"	"38029"	"May, 1979"	"1979/05"	21824.87	930	5792.60	28378.10
	"Emmons County, ND"	"38029"	"Jun, 1979"	"1979/06"	24269.38	900	8801.30	29015.90
	"Emmons County, ND"	"38029"	"Jul, 1979"	"1979/07"	23522.30	930	11451.10	27825.70
	"Emmons County, ND"	"38029"	"Aug, 1979"	"1979/08"	19773.33	930	8335.10	25376.40
	"Emmons County, ND"	"38029"	"Sep, 1979"	"1979/09"	17254.88	900	12148.50	20429.60
	"Emmons County, ND"	"38029"	"Oct, 1979"	"1979/10"	10106.80	930	4459.40	15526.60
	"Emmons County, ND"	"38029"	"Nov, 1979"	"1979/11"	6343.92	900	2794.20	9083.90
	"Emmons County, ND"	"38029"	"Dec, 1979"	"1979/12"	5217.48	930	2120.10	6895.80
"Total"	"Emmons County, ND"	"38029"			14753.74	10950	2120.10	29015.90
	"Foster County, ND"	"38031"	"Jan, 1979"	"1979/01"	6299.35	372	3782.60	8663.10
	"Foster County, ND"	"38031"	"Feb, 1979"	"1979/02"	9121.45	336	5762.80	12771.20
	"Foster County, ND"	"38031"	"Mar, 1979"	"1979/03"	15483.41	372	7386.20	21672.20
	"Foster County, ND"	"38031"	"Apr, 1979"	"1979/04"	19287.68	360	10501.30	25289.00
	"Foster County, ND"	"38031"	"May, 1979"	"1979/05"	22045.20	372	8134.80	28261.90
	"Foster County, ND"	"38031"	"Jun, 1979"	"1979/06"	23712.08	360	11222.40	28728.70
	"Foster County, ND"	"38031"	"Jul, 1979"	"1979/07"	23698.88	372	13786.50	27832.80
	"Foster County, ND"	"38031"	"Aug, 1979"	"1979/08"	20052.29	372	10995.60	25212.90
	"Foster County, ND"	"38031"	"Sep, 1979"	"1979/09"	16423.51	360	6518.70	20182.20
	"Foster County, ND"	"38031"	"Oct, 1979"	"1979/10"	9683.10	372	4602.00	14451.20
	"Foster County, ND"	"38031"	"Nov, 1979"	"1979/11"	6188.71	360	2748.50	8469.00
	"Foster County, ND"	"38031"	"Dec, 1979"	"1979/12"	5344.33	372	3121.10	6862.00
"Total"	"Foster County, ND"	"38031"			14807.02	4380	2748.50	28728.70
	"Golden Valley County, ND"	"38033"	"Jan, 1979"	"1979/01"	6524.21	620	2992.90	9626.20
	"Golden Valley County, ND"	"38033"	"Feb, 1979"	"1979/02"	8211.84	560	4875.00	11901.90
	"Golden Valley County, ND"	"38033"	"Mar, 1979"	"1979/03"	14814.29	620	8791.20	18704.70
	"Golden Valley County, ND"	"38033"	"Apr, 1979"	"1979/04"	17503.23	600	7446.00	22974.00
	"Golden Valley County, ND"	"38033"	"May, 1979"	"1979/05"	20423.55	620	6727.70	28125.50
	"Golden Valley County, ND"	"38033"	"Jun, 1979"	"1979/06"	25954.61	600	16114.00	28623.70
	"Golden Valley County, ND"	"38033"	"Jul, 1979"	"1979/07"	25194.41	620	17178.30	28680.20
	"Golden Valley County, ND"	"38033"	"Aug, 1979"	"1979/08"	20903.25	620	13569.30	25051.50
	"Golden Valley County, ND"	"38033"	"Sep, 1979"	"1979/09"	16461.11	600	8109.50	19918.60
	"Golden Valley County, ND"	"38033"	"Oct, 1979"	"1979/10"	10305.94	620	3921.20	14760.80
	"Golden Valley County, ND"	"38033"	"Nov, 1979"	"1979/11"	6129.04	600	2381.50	9191.20
	"Golden Valley County, ND"	"38033"	"Dec, 1979"	"1979/12"	5123.91	620	2530.50	6516.30
"Total"	"Golden Valley County, ND"	"38033"			14831.09	7300	2381.50	28680.20
	"Grand Forks County, ND"	"38035"	"Jan, 1979"	"1979/01"	6113.37	1054	4264.20	8734.50
	"Grand Forks County, ND"	"38035"	"Feb, 1979"	"1979/02"	9198.94	952	4730.00	13280.00
	"Grand Forks County, ND"	"38035"	"Mar, 1979"	"1979/03"	15026.47	1054	6077.40	22002.40
	"Grand Forks County, ND"	"38035"	"Apr, 1979"	"1979/04"	17029.51	1020	6331.60	25152.20
	"Grand Forks County, ND"	"38035"	"May, 1979"	"1979/05"	20372.15	1054	7536.20	28343.40
	"Grand Forks County, ND"	"38035"	"Jun, 1979"	"1979/06"	23867.65	1020	10377.00	29195.90
	"Grand Forks County, ND"	"38035"	"Jul, 1979"	"1979/07"	24015.04	1054	14517.10	29089.70
	"Grand Forks County, ND"	"38035"	"Aug, 1979"	"1979/08"	20316.09	1054	8591.40	25343.50
	"Grand Forks County, ND"	"38035"	"Sep, 1979"	"1979/09"	15717.47	1020	6221.50	19991.10
	"Grand Forks County, ND"	"38035"	"Oct, 1979"	"1979/10"	9171.50	1054	3248.70	15066.10
	"Grand Forks County, ND"	"38035"	"Nov, 1979"	"1979/11"	6014.43	1020	3286.80	8344.50
	"Grand Forks County, ND"	"38035"	"Dec, 1979"	"1979/12"	5112.41	1054	1871.80	6676.40
"Total"	"Grand Forks County, ND"	"38035"			14357.21	12410	1871.80	29195.90
	"Grant County, ND"	"38037"	"Jan, 1979"	"1979/01"	6739.15	1023	3292.60	9619.00
	"Grant County, ND"	"38037"	"Feb, 1979"	"1979/02"	8719.33	924	4743.10	12127.30
	"Grant County, ND"	"38037"	"Mar, 1979"	"1979/03"	15484.49	1023	9074.90	20209.20
	"Grant County, ND"	"38037"	"Apr, 1979"	"1979/04"	17600.19	990	7791.40	24080.40
	"Grant County, ND"	"38037"	"May, 1979"	"1979/05"	21681.93	1023	9100.80	28348.10
	"Grant County, ND"	"38037"	"Jun, 1979"	"1979/06"	25648.42	990	13856.80	28988.90
	"Grant County, ND"	"38037"	"Jul, 1979"	"1979/07"	24462.03	1023	13676.50	28126.50
	"Grant County, ND"	"38037"	"Aug, 1979"	"1979/08"	19924.49	1023	9654.40	25147.50
	"Grant County, ND"	"38037"	"Sep, 1979"	"1979/09"	16999.68	990	9917.90	20301.70
	"Grant County, ND"	"38037"	"Oct, 1979"	"1979/10"	10440.77	1023	4032.00	15227.80
	"Grant County, ND"	"38037"	"Nov, 1979"	"1979/11"	6395.80	990	3041.30	10249.90
	"Grant County, ND"	"38037"	"Dec, 1979"	"1979/12"	5333.25	1023	2196.10	6812.80
"Total"	"Grant County, ND"	"38037"			14984.97	12045	2196.10	28988.90
	"Griggs County, ND"	"38039"	"Jan, 1979"	"1979/01"	6257.59	372	3478.00	8342.90
	"Griggs County, ND"	"38039"	"Feb, 1979"	"1979/02"	9408.26	336	5769.30	13241.50
	"Griggs County, ND"	"38039"	"Mar, 1979"	"1979/03"	15477.82	372	6927.90	21917.60
	"Griggs County, ND"	"38039"	"Apr, 1979"	"1979/04"	18213.97	360	9723.60	25173.90
	"Griggs County, ND"	"38039"	"May, 1979"	"1979/05"	21712.23	372	7176.30	28224.50
	"Griggs County, ND"	"38039"	"Jun, 1979"	"1979/06"	23717.35	360	9980.60	28875.10
	"Griggs County, ND"	"38039"	"Jul, 1979"	"1979/07"	23214.08	372	12945.50	27759.30
	"Griggs County, ND"	"38039"	"Aug, 1979"	"1979/08"	20141.68	372	9788.40	25261.90
	"Griggs County, ND"	"38039"	"Sep, 1979"	"1979/09"	16380.89	360	6705.80	20153.60
	"Griggs County, ND"	"38039"	"Oct, 1979"	"1979/10"	9537.31	372	4164.30	14573.20
	"Griggs County, ND"	"38039"	"Nov, 1979"	"1979/11"	6226.18	360	3150.60	8613.30
	"Griggs County, ND"	"38039"	"Dec, 1979"	"1979/12"	5404.83	372	2603.90	7074.90
"Total"	"Griggs County, ND"	"38039"			14667.66	4380	2603.90	28875.10
	"Hettinger County, ND"	"38041"	"Jan, 1979"	"1979/01"	6645.81	651	3064.70	9597.70
	"Hettinger County, ND"	"38041"	"Feb, 1979"	"1979/02"	8573.81	588	4936.60	12212.30
	"Hettinger County, ND"	"38041"	"Mar, 1979"	"1979/03"	15515.93	651	9237.10	19898.20
	"Hettinger County, ND"	"38041"	"Apr, 1979"	"1979/04"	17723.52	630	8796.00	22861.90
	"Hettinger County, ND"	"38041"	"May, 1979"	"1979/05"	21251.62	651	8071.70	28161.50
	"Hettinger County, ND"	"38041"	"Jun, 1979"	"1979/06"	26102.72	630	16661.30	28893.40
	"Hettinger County, ND"	"38041"	"Jul, 1979"	"1979/07"	25073.35	651	16735.70	28076.70
	"Hettinger County, ND"	"38041"	"Aug, 1979"	"1979/08"	20043.49	651	12042.10	24786.70
	"Hettinger County, ND"	"38041"	"Sep, 1979"	"1979/09"	16770.38	630	10958.00	19884.10
	"Hettinger County, ND"	"38041"	"Oct, 1979"	"1979/10"	10481.56	651	4318.10	14831.40
	"Hettinger County, ND"	"38041"	"Nov, 1979"	"1979/11"	6723.88	630	3059.40	10073.20
	"Hettinger County, ND"	"38041"	"Dec, 1979"	"1979/12"	5185.02	651	2172.00	6630.80
"Total"	"Hettinger County, ND"	"38041"			15040.50	7665	2172.00	28893.40
	"Kidder County, ND"	"38043"	"Jan, 1979"	"1979/01"	6487.33	930	2877.80	9282.80
	"Kidder County, ND"	"38043"	"Feb, 1979"	"1979/02"	9296.56	840	5490.70	13048.80
	"Kidder County, ND"	"38043"	"Mar, 1979"	"1979/03"	15588.06	930	6776.70	21098.90
	"Kidder County, ND"	"38043"	"Apr, 1979"	"1979/04"	17689.75	900	9065.50	24295.70
	"Kidder County, ND"	"38043"	"May, 1979"	"1979/05"	21281.12	930	6483.80	28534.60
	"Kidder County, ND"	"38043"	"Jun, 1979"	"1979/06"	23380.04	900	9048.70	28485.20
	"Kidder County, ND"	"38043"	"Jul, 1979"	"1979/07"	23233.34	930	11759.10	27472.00
	"Kidder County, ND"	"38043"	"Aug, 1979"	"1979/08"	19730.52	930	10673.50	25354.30
	"Kidder County, ND"	"38043"	"Sep, 1979"	"1979/09"	16820.26	900	7264.60	20317.40
	"Kidder County, ND"	"38043"	"Oct, 1979"	"1979/10"	10144.11	930	4694.10	15463.30
	"Kidder County, ND"	"38043"	"Nov, 1979"	"1979/11"	6274.98	900	2746.00	8962.00
	"Kidder County, ND"	"38043"	"Dec, 1979"	"1979/12"	5217.77	930	2322.80	6885.30
"Total"	"Kidder County, ND"	"38043"			14623.03	10950	2322.80	28534.60
	"LaMoure County, ND"	"38045"	"Jan, 1979"	"1979/01"	6554.70	744	3600.00	8814.50
	"LaMoure County, ND"	"38045"	"Feb, 1979"	"1979/02"	9440.96	672	5440.50	13449.40
	"LaMoure County, ND"	"38045"	"Mar, 1979"	"1979/03"	15104.29	744	5974.80	20661.70
	"LaMoure County, ND"	"38045"	"Apr, 1979"	"1979/04"	16770.94	720	8045.40	22833.80
	"LaMoure County, ND"	"38045"	"May, 1979"	"1979/05"	21262.21	744	6035.40	28140.80
	"LaMoure County, ND"	"38045"	"Jun, 1979"	"1979/06"	23064.41	720	10321.60	28698.30
	"LaMoure County, ND"	"38045"	"Jul, 1979"	"1979/07"	22729.00	744	14111.40	27466.10
	"LaMoure County, ND"	"38045"	"Aug, 1979"	"1979/08"	19209.33	744	10636.80	25295.40
	"LaMoure County, ND"	"38045"	"Sep, 1979"	"1979/09"	16537.51	720	9526.50	19873.70
	"LaMoure County, ND"	"38045"	"Oct, 1979"	"1979/10"	9541.13	744	3843.60	15358.80
	"LaMoure County, ND"	"38045"	"Nov, 1979"	"1979/11"	6622.91	720	3394.60	9407.30
	"LaMoure County, ND"	"38045"	"Dec, 1979"	"1979/12"	5500.49	744	2407.50	7260.90
"Total"	"LaMoure County, ND"	"38045"			14386.73	8760	2407.50	28698.30
	"Logan County, ND"	"38047"	"Jan, 1979"	"1979/01"	6627.24	651	3796.80	9285.60
	"Logan County, ND"	"38047"	"Feb, 1979"	"1979/02"	9344.39	588	5388.60	13183.50
	"Logan County, ND"	"38047"	"Mar, 1979"	"1979/03"	15422.97	651	5856.60	20828.60
	"Logan County, ND"	"38047"	"Apr, 1979"	"1979/04"	17238.02	630	9035.70	23393.30
	"Logan County, ND"	"38047"	"May, 1979"	"1979/05"	21511.63	651	6073.50	28308.70
	"Logan County, ND"	"38047"	"Jun, 1979"	"1979/06"	23309.12	630	8537.00	28391.80
	"Logan County, ND"	"38047"	"Jul, 1979"	"1979/07"	22834.68	651	11815.80	27326.50
	"Logan County, ND"	"38047"	"Aug, 1979"	"1979/08"	19386.25	651	9395.10	25163.80
	"Logan County, ND"	"38047"	"Sep, 1979"	"1979/09"	16853.07	630	10619.00	20129.60
	"Logan County, ND"	"38047"	"Oct, 1979"	"1979/10"	9926.45	651	4425.20	15551.20
	"Logan County, ND"	"38047"	"Nov, 1979"	"1979/11"	6372.49	630	3118.60	9175.20
	"Logan County, ND"	"38047"	"Dec, 1979"	"1979/12"	5303.24	651	2423.50	7186.40
"Total"	"Logan County, ND"	"38047"			14537.56	7665	2423.50	28391.80
	"McHenry County, ND"	"38049"	"Jan, 1979"	"1979/01"	6376.58	1085	2930.10	9372.80
	"McHenry County, ND"	"38049"	"Feb, 1979"	"1979/02"	9160.03	980	4672.70	12585.30
	"McHenry County, ND"	"38049"	"Mar, 1979"	"1979/03"	14633.15	1085	8257.00	21407.00
	"McHenry County, ND"	"38049"	"Apr, 1979"	"1979/04"	17021.75	1050	6153.70	24574.80
	"McHenry County, ND"	"38049"	"May, 1979"	"1979/05"	19800.78	1085	6029.70	28396.50
	"McHenry County, ND"	"38049"	"Jun, 1979"	"1979/06"	24500.01	1050	11024.70	29192.30
	"McHenry County, ND"	"38049"	"Jul, 1979"	"1979/07"	24212.98	1085	16295.40	28806.80
	"McHenry County, ND"	"38049"	"Aug, 1979"	"1979/08"	20271.40	1085	12966.30	25015.90
	"McHenry County, ND"	"38049"	"Sep, 1979"	"1979/09"	15762.00	1050	4416.50	19816.40
	"McHenry County, ND"	"38049"	"Oct, 1979"	"1979/10"	10004.96	1085	5078.00	14933.60
	"McHenry County, ND"	"38049"	"Nov, 1979"	"1979/11"	5695.75	1050	2032.80	8221.50
	"McHenry County, ND"	"38049"	"Dec, 1979"	"1979/12"	4840.89	1085	1982.90	6489.60
"Total"	"McHenry County, ND"	"38049"			14384.19	12775	1982.90	29192.30
	"McIntosh County, ND"	"38051"	"Jan, 1979"	"1979/01"	6710.87	434	3626.10	9308.10
	"McIntosh County, ND"	"38051"	"Feb, 1979"	"1979/02"	9418.87	392	5913.20	13186.30
	"McIntosh County, ND"	"38051"	"Mar, 1979"	"1979/03"	15266.75	434	5447.50	20957.90
	"McIntosh County, ND"	"38051"	"Apr, 1979"	"1979/04"	17045.25	420	8289.40	23670.10
	"McIntosh County, ND"	"38051"	"May, 1979"	"1979/05"	21700.64	434	5787.90	28113.10
	"McIntosh County, ND"	"38051"	"Jun, 1979"	"1979/06"	23355.33	420	9427.30	28288.40
	"McIntosh County, ND"	"38051"	"Jul, 1979"	"1979/07"	22760.29	434	12519.50	27064.10
	"McIntosh County, ND"	"38051"	"Aug, 1979"	"1979/08"	19519.88	434	8807.50	25324.80
	"McIntosh County, ND"	"38051"	"Sep, 1979"	"1979/09"	17090.65	420	11619.20	20384.70
	"McIntosh County, ND"	"38051"	"Oct, 1979"	"1979/10"	9914.41	434	4332.40	15766.50
	"McIntosh County, ND"	"38051"	"Nov, 1979"	"1979/11"	6534.04	420	3154.30	9569.10
	"McIntosh County, ND"	"38051"	"Dec, 1979"	"1979/12"	5462.70	434	2453.00	7205.80
"Total"	"McIntosh County, ND"	"38051"			14591.47	5110	2453.00	28288.40
	"McKenzie County, ND"	"38053"	"Jan, 1979"	"1979/01"	6206.34	1643	2859.10	8913.90
	"McKenzie County, ND"	"38053"	"Feb, 1979"	"1979/02"	8348.66	1484	4528.00	12001.90
	"McKenzie County, ND"	"38053"	"Mar, 1979"	"1979/03"	15309.81	1643	9403.50	20069.10
	"McKenzie County, ND"	"38053"	"Apr, 1979"	"1979/04"	16685.89	1590	6492.20	23042.30
	"McKenzie County, ND"	"38053"	"May, 1979"	"1979/05"	20007.10	1643	6279.00	28162.50
	"McKenzie County, ND"	"38053"	"Jun, 1979"	"1979/06"	25672.34	1590	16055.40	28751.00
	"McKenzie County, ND"	"38053"	"Jul, 1979"	"1979/07"	25085.66	1643	17165.00	29052.80
	"McKenzie County, ND"	"38053"	"Aug, 1979"	"1979/08"	20826.95	1643	14325.00	25193.00
	"McKenzie County, ND"	"38053"	"Sep, 1979"	"1979/09"	16105.51	1590	4618.70	19904.20
	"McKenzie County, ND"	"38053"	"Oct, 1979"	"1979/10"	10143.29	1643	3336.20	14503.80
	"McKenzie County, ND"	"38053"	"Nov, 1979"	"1979/11"	5922.76	1590	2328.90	9305.90
	"McKenzie County, ND"	"38053"	"Dec, 1979"	"1979/12"	4749.67	1643	2328.70	5975.70
"Total"	"McKenzie County, ND"	"38053"			14623.43	19345	2328.70	29052.80
	"McLean County, ND"	"38055"	"Jan, 1979"	"1979/01"	6107.00	1581	1701.80	9516.50
	"McLean County, ND"	"38055"	"Feb, 1979"	"1979/02"	8019.93	1428	3891.80	12414.50
	"McLean County, ND"	"38055"	"Mar, 1979"	"1979/03"	14162.59	1581	7487.00	20954.10
	"McLean County, ND"	"38055"	"Apr, 1979"	"1979/04"	16911.61	1530	7052.30	24200.80
	"McLean County, ND"	"38055"	"May, 1979"	"1979/05"	20660.04	1581	6325.90	28519.20
	"McLean County, ND"	"38055"	"Jun, 1979"	"1979/06"	24613.98	1530	10196.90	29007.10
	"McLean County, ND"	"38055"	"Jul, 1979"	"1979/07"	24077.84	1581	11715.60	28221.50
	"McLean County, ND"	"38055"	"Aug, 1979"	"1979/08"	20068.21	1581	10961.50	24910.90
	"McLean County, ND"	"38055"	"Sep, 1979"	"1979/09"	16465.71	1530	4793.00	20318.70
	"McLean County, ND"	"38055"	"Oct, 1979"	"1979/10"	10246.53	1581	3314.10	15102.00
	"McLean County, ND"	"38055"	"Nov, 1979"	"1979/11"	5615.62	1530	2067.40	9208.80
	"McLean County, ND"	"38055"	"Dec, 1979"	"1979/12"	5074.41	1581	2548.70	6643.50
"Total"	"McLean County, ND"	"38055"			14370.03	18615	1701.80	29007.10
	"Mercer County, ND"	"38057"	"Jan, 1979"	"1979/01"	6210.62	651	1964.10	9166.00
	"Mercer County, ND"	"38057"	"Feb, 1979"	"1979/02"	8257.07	588	4182.30	12148.40
	"Mercer County, ND"	"38057"	"Mar, 1979"	"1979/03"	14504.56	651	7732.00	20202.90
	"Mercer County, ND"	"38057"	"Apr, 1979"	"1979/04"	17140.80	630	7489.60	23744.90
	"Mercer County, ND"	"38057"	"May, 1979"	"1979/05"	20866.15	651	6520.30	28366.40
	"Mercer County, ND"	"38057"	"Jun, 1979"	"1979/06"	25144.27	630	11484.60	28727.50
	"Mercer County, ND"	"38057"	"Jul, 1979"	"1979/07"	24282.49	651	14121.40	28025.10
	"Mercer County, ND"	"38057"	"Aug, 1979"	"1979/08"	20072.67	651	12063.40	24674.00
	"Mercer County, ND"	"38057"	"Sep, 1979"	"1979/09"	16525.42	630	7493.60	20063.80
	"Mercer County, ND"	"38057"	"Oct, 1979"	"1979/10"	10244.21	651	3557.90	14901.30
	"Mercer County, ND"	"38057"	"Nov, 1979"	"1979/11"	5534.18	630	2156.00	8966.20
	"Mercer County, ND"	"38057"	"Dec, 1979"	"1979/12"	5013.45	651	2498.00	6287.80
"Total"	"Mercer County, ND"	"38057"			14516.59	7665	1964.10	28727.50
	"Morton County, ND"	"38059"	"Jan, 1979"	"1979/01"	6649.27	1178	3396.20	9482.50
	"Morton County, ND"	"38059"	"Feb, 1979"	"1979/02"	8773.55	1064	5087.90	12156.90
	"Morton County, ND"	"38059"	"Mar, 1979"	"1979/03"	15552.04	1178	8824.60	21181.80
	"Morton County, ND"	"38059"	"Apr, 1979"	"1979/04"	17739.87	1140	8513.90	23679.40
	"Morton County, ND"	"38059"	"May, 1979"	"1979/05"	21587.52	1178	9475.60	28694.50
	"Morton County, ND"	"38059"	"Jun, 1979"	"1979/06"	24902.82	1140	10420.70	28774.60
	"Morton County, ND"	"38059"	"Jul, 1979"	"1979/07"	24198.16	1178	11874.80	28092.00
	"Morton County, ND"	"38059"	"Aug, 1979"	"1979/08"	19902.41	1178	9733.60	25160.30
	"Morton County, ND"	"38059"	"Sep, 1979"	"1979/09"	16894.79	1140	9298.60	20345.90
	"Morton County, ND"	"38059"	"Oct, 1979"	"1979/10"	10466.29	1178	3919.80	15513.20
	"Morton County, ND"	"38059"	"Nov, 1979"	"1979/11"	5993.40	1140	2740.60	9138.80
	"Morton County, ND"	"38059"	"Dec, 1979"	"1979/12"	5196.79	1178	2283.30	6593.50
"Total"	"Morton County, ND"	"38059"			14854.01	13870	2283.30	28774.60
	"Mountrail County, ND"	"38061"	"Jan, 1979"	"1979/01"	6305.76	1147	1768.20	8982.50
	"Mountrail County, ND"	"38061"	"Feb, 1979"	"1979/02"	8512.49	1036	4115.70	12225.90
	"Mountrail County, ND"	"38061"	"Mar, 1979"	"1979/03"	14432.91	1147	7890.50	20540.20
	"Mountrail County, ND"	"38061"	"Apr, 1979"	"1979/04"	16790.31	1110	6400.60	23505.20
	"Mountrail County, ND"	"38061"	"May, 1979"	"1979/05"	20246.42	1147	6099.10	28069.60
	"Mountrail County, ND"	"38061"	"Jun, 1979"	"1979/06"	24972.37	1110	14790.30	28694.30
	"Mountrail County, ND"	"38061"	"Jul, 1979"	"1979/07"	24713.53	1147	17021.90	28504.50
	"Mountrail County, ND"	"38061"	"Aug, 1979"	"1979/08"	20392.64	1147	12997.20	25094.90
	"Mountrail County, ND"	"38061"	"Sep, 1979"	"1979/09"	15695.67	1110	3888.10	20213.10
	"Mountrail County, ND"	"38061"	"Oct, 1979"	"1979/10"	9995.44	1147	3205.70	14909.90
	"Mountrail County, ND"	"38061"	"Nov, 1979"	"1979/11"	5831.40	1110	2444.20	9065.70
	"Mountrail County, ND"	"38061"	"Dec, 1979"	"1979/12"	4853.23	1147	2590.40	6325.80
"Total"	"Mountrail County, ND"	"38061"			14427.89	13505	1768.20	28694.30
	"Nelson County, ND"	"38063"	"Jan, 1979"	"1979/01"	6286.20	713	4307.80	9033.00
	"Nelson County, ND"	"38063"	"Feb, 1979"	"1979/02"	9372.35	644	4931.70	13183.40
	"Nelson County, ND"	"38063"	"Mar, 1979"	"1979/03"	15449.15	713	7406.50	22155.30
	"Nelson County, ND"	"38063"	"Apr, 1979"	"1979/04"	18705.45	690	9193.00	25519.60
	"Nelson County, ND"	"38063"	"May, 1979"	"1979/05"	21973.36	713	8099.00	28088.50
	"Nelson County, ND"	"38063"	"Jun, 1979"	"1979/06"	23797.57	690	10681.50	28548.40
	"Nelson County, ND"	"38063"	"Jul, 1979"	"1979/07"	23961.82	713	15144.60	28432.90
	"Nelson County, ND"	"38063"	"Aug, 1979"	"1979/08"	20431.63	713	10862.30	25112.60
	"Nelson County, ND"	"38063"	"Sep, 1979"	"1979/09"	15933.58	690	6353.00	20177.20
	"Nelson County, ND"	"38063"	"Oct, 1979"	"1979/10"	9417.54	713	4396.90	14237.60
	"Nelson County, ND"	"38063"	"Nov, 1979"	"1979/11"	6188.58	690	3199.10	8662.60
	"Nelson County, ND"	"38063"	"Dec, 1979"	"1979/12"	5222.69	713	2227.00	6674.20
"Total"	"Nelson County, ND"	"38063"			14756.70	8395	2227.00	28548.40
	"Oliver County, ND"	"38065"	"Jan, 1979"	"1979/01"	6590.88	403	3301.00	9485.90
	"Oliver County, ND"	"38065"	"Feb, 1979"	"1979/02"	8800.58	364	5242.70	12262.30
	"Oliver County, ND"	"38065"	"Mar, 1979"	"1979/03"	15779.79	403	9447.10	21023.10
	"Oliver County, ND"	"38065"	"Apr, 1979"	"1979/04"	17500.78	390	8686.80	23869.80
	"Oliver County, ND"	"38065"	"May, 1979"	"1979/05"	21138.54	403	9287.90	28696.50
	"Oliver County, ND"	"38065"	"Jun, 1979"	"1979/06"	24848.02	390	10584.70	28660.40
	"Oliver County, ND"	"38065"	"Jul, 1979"	"1979/07"	24182.21	403	11997.10	28027.40
	"Oliver County, ND"	"38065"	"Aug, 1979"	"1979/08"	19972.02	403	11185.30	24919.00
	"Oliver County, ND"	"38065"	"Sep, 1979"	"1979/09"	16781.60	390	8063.40	20327.90
	"Oliver County, ND"	"38065"	"Oct, 1979"	"1979/10"	10336.71	403	3657.00	15201.00
	"Oliver County, ND"	"38065"	"Nov, 1979"	"1979/11"	5749.86	390	2355.10	8510.70
	"Oliver County, ND"	"38065"	"Dec, 1979"	"1979/12"	5109.75	403	3071.20	6548.50
"Total"	"Oliver County, ND"	"38065"			14765.02	4745	2355.10	28696.50
	"Pembina County, ND"	"38067"	"Jan, 1979"	"1979/01"	5906.25	775	3771.20	8998.60
